product_name,price,old_price,difference,percentage_difference,price_per_unit,promo_description,category,purchasable,page
Glace Cône chocolat pépites nougatine EXTREME,4.69,,,,11.01 € / KG,Prenez en 3 = Payez en 2,,True,2
Biscuits Fourrés Noisettes et Cacao NUTELLA B-READY,4.39,,,,13.30 € / KG,Le 2ème à -50%,,True,2
Glace Cône macaron caramel pointe de sel EXTREME,4.69,,,,11.84 € / KG,Prenez en 3 = Payez en 2,,True,2
Couches Bébés Baby-Dry 6-10kg Taille 3 PAMPERS,15.9,,,,0.32 € / U,Le 2ème à -68%,,True,2
Glace vanille noix de macadamia HAAGEN-DAZS,4.79,,,,11.98 € / KG,Prenez en 3 = Payez en 2,,True,2
Crème dessert chocolat DANETTE,1.27,,,,2.54 € / KG,Vu en catalogue,,True,2
Mouchoirs Confort 3 Epaisseurs Ultra Doux FSC CARREFOUR SOFT,3.65,,,,0.01 € / U,Le 2ème à -30%,,True,2
Lessive liquide Mon Cycle Court Parfait Efficacité Express SKIP,26.78,,,,9.05 € / L,34% d'économies,,True,2
Papier toilette Ultra Confort CARREFOUR ESSENTIAL,4.59,,,,0.38 € / U,Le 2ème à -30%,,True,2
Beurre gastronomique doux CARREFOUR CLASSIC',2.55,,,,10.20 € / KG,"2 achetés = 4,95€",,True,2
Jambon cuit conservation sans nitrite réduit en sel HERTA,5.78,,,,13.76 € / KG,Vu en catalogue,,True,2
Céréales Extra Chocolat Noir Noisettes KELLOGG'S,3.19,,,,6.38 € / KG,Le 2ème à -60%,,True,2
Papier Toilette Confort Ultra Confort Rose CARREFOUR ESSENTIAL,4.59,,,,0.38 € / U,Le 2ème à -30%,,True,2
Bière Blonde 1664,10.8,14.4,3.6,25.0,1.80 € / L,1 acheté = 25% de remise,,True,3
Emmental Tendre Et Fruité PRESIDENT,3.99,,,,8.77 € / KG,Vu en catalogue,,True,3
Brosse à dents Électrique iO 3 Rose ORAL B,93.9,,,,93.90 € / U,70% d'économies,,True,3
Yaourt enfant Vanille Billes Chocolat SMARTIES,2.49,,,,5.19 € / KG,Prenez en 3 = Payez en 2,,True,3
Salade Taboulé oriental à l'huile d'olive vierge extra PIERRE MARTINET,1.75,,,,5.65 € / KG,Le 2ème à -68%,,True,3
Bière blonde premium HEINEKEN,10.19,,,,2.72 € / L,Le 2ème à -50%,,True,3
Bière Aromatisée Citron et Citron Vert 4° DESPERADOS SUNLIGHT,6.9,,,,3.48 € / L,34% d'économies,,True,3
Sardines citron-basilic s/huile CONNETABLE,5.65,,,,13.45 € / KG,Le 2ème à -50%,,True,3
Bière Aromatisée à un spiritueux à base d'Agave DESPERADOS,14.72,,,,3.72 € / L,Le 2ème à -50%,,True,3
Pizza Dolce 4 formaggi mozzarella gorgonzola grana padano parmesan SODEBO,4.29,,,,11.29 € / KG,Le 2ème à -68%,,True,3
Barres Céréales Crunchy Avoine et Miel NATURE VALLEY,3.09,,,,14.71 € / KG,Le 2ème à -60%,,True,3
Lessive capsules Couleurs Eclatantes ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,3
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,3
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,3
Bière Blonde LEFFE,1.58,,,,3.16 € / L,Prenez en 3 = Payez en 2,,True,3
Gâteaux fourrés au chocolat et aux pépites de chocolat Cake & Choc MILKA,3.09,,,,8.83 € / KG,Le 2ème à -50%,,True,3
"Bière Blonde Belge d'Abbaye 6,6% LEFFE",11.99,,,,2.66 € / L,Vu en catalogue,,True,3
Jambon Le Paris cuit à l'étouffée CARREFOUR CLASSIC',1.89,,,,11.81 € / KG,Le 2ème à -30%,,True,3
"Bière Blonde 8,4% TRIPEL KARMELIET",4.65,,,,6.20 € / L,Prenez en 3 = Payez en 2,,True,3
Edulcorant Sucralose CANDEREL,4.15,,,,0.01 € / U,Prenez en 3 = Payez en 2,,True,3
Capsules Lave-vaisselle Anti-Terne Citron Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,3
Détachant Poudre Booster De Lavage Oxi Action VANISH,6.73,10.19,3.46,33.95,9.35 € / KG,PROMO : 34%,,True,3
Compote Pomme Et Pomme Poire ANDROS,3.45,,,,2.16 € / KG,Vu en catalogue,,True,3
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,3
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,4
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,4
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,4
Capsules Lave-vaisselle Anti-Terne Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,4
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,5
Lessive capsules Couleurs Eclatantes ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,5
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,6
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,6
Fruit de la passion,1.59,,,,1.59 € / U,"2 achetés = 2,5€",,True,6
Capsules Lave-vaisselle Citron Tout en 1+ FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,6
Citron jaune,0.69,,,,0.69 € / U,"4 achetés = 2,5€",,True,6
Pomelo rouge,0.89,,,,0.89 € / U,"2 achetés = 1,5€",,True,6
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,6
Concombre,1.29,,,,1.29 € / U,"2 achetés = 2,3€",,True,7
Capsules Lave-vaisselle Anti-Terne Citron Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,7
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,7
Capsules Lave-vaisselle Anti-Terne Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,7
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,7
Salade mélange Gourmand LES CRUDETTES,2.99,,,,9.34 € / KG,Le 2ème à -60%,,True,7
Salade Cœur de laitue LES CRUDETTES,2.1,,,,14.00 € / KG,Le 2ème à -60%,,True,7
Salade 100% frisée cœur LES CRUDETTES,1.95,,,,13.00 € / KG,Le 2ème à -60%,,True,7
Graines de Tournesol Grillées Salées PETIT PRIX,2.59,,,,6.48 € / KG,Le 2ème à -20% d'économies,,True,7
Figues moelleuses CARREFOUR LE MARCHE,3.0,,,,12.00 € / KG,Le 2ème à -20% d'économies,,True,7
Salade iceberg CARREFOUR LE MARCHE,1.5,,,,5.00 € / KG,Le 2ème à -30%,,True,8
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,8
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,8
Fruits secs dattes avec noyaux CARREFOUR,2.75,,,,5.50 € / KG,Le 2ème à -20% d'économies,,True,8
Pruneaux d'Agen avec noyaux CARREFOUR,7.05,,,,7.05 € / KG,Le 2ème à -20% d'économies,,True,8
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,8
Salade coeur de laitue CARREFOUR LE MARCHE,1.9,,,,9.50 € / KG,Le 2ème à -30%,,True,9
Brosse à dents Électrique IO Series 3S ORAL B,93.9,,,,,70% d'économies,,True,9
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,9
Capsules Lave-vaisselle Anti-Terne Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,9
Figues de montagne CARREFOUR LE MARCHE,5.99,,,,11.98 € / KG,Le 2ème à -20% d'économies,,True,9
Capsules Lave-vaisselle Citron Tout en 1+ FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,9
Dattes dénoyautées CARREFOUR LE MARCHE,2.09,,,,8.36 € / KG,Le 2ème à -20% d'économies,,True,9
